,trajectory,next step rate,step name
0,..........+..........,2.438527e+09,f_backfray-end_26
1,........(.+.......)..,9.191432e+07,b_sliding_81
2,.....((...+........)),4.351879e+08,b_backfray-end_75
3,......(...+........).,9.191432e+09,f_backfray-end_80
4,.....((...+........)),4.351879e+08,b_backfray-end_75
5,......(...+........).,9.191432e+09,f_backfray-end_80
6,.....((...+........)),5.381723e+08,b_backfray-end_74
7,.....(....+.........),7.432564e+09,f_backfray-end_78
8,.....((...+........)),4.351879e+08,b_backfray-end_75
9,......(...+........).,9.191432e+09,f_backfray-end_80
10,.....((...+........)),5.381723e+08,b_backfray-end_74
11,.....(....+.........),7.432564e+09,f_backfray-end_78
12,.....((...+........)),4.351879e+08,b_backfray-end_75
13,......(...+........).,9.191432e+09,f_backfray-end_80
14,.....((...+........)),5.381723e+08,b_backfray-end_74
15,.....(....+.........),7.432564e+09,f_backfray-end_78
16,.....((...+........)),4.351879e+08,b_backfray-end_75
17,......(...+........).,3.908113e+08,b_off_core_79
18,..........+..........,2.438527e+09,f_backfray-end_11
19,..(.......+.)........,1.640335e+09,b_backfray-end_29
20,..........+..........,2.438527e+09,f_backfray-end_27
21,........(.+........).,1.640335e+09,b_backfray-end_85
22,..........+..........,5.809815e+08,f_off_core_25
23,......(...+........).,9.191432e+09,f_backfray-end_80
24,.....((...+........)),5.381723e+08,b_backfray-end_74
25,.....(....+.........),7.432564e+09,f_backfray-end_78
26,.....((...+........)),5.381723e+08,b_backfray-end_74
27,.....(....+.........),7.432564e+09,f_backfray-end_78
28,.....((...+........)),5.381723e+08,b_backfray-end_74
29,.....(....+.........),7.432564e+09,f_backfray-end_78
30,.....((...+........)),5.381723e+08,b_backfray-end_74
31,.....(....+.........),7.432564e+09,f_backfray-end_78
32,.....((...+........)),4.351879e+08,b_backfray-end_75
33,......(...+........).,9.191432e+09,f_backfray-end_80
34,.....((...+........)),4.351879e+08,b_backfray-end_75
35,......(...+........).,9.191432e+09,f_backfray-end_80
36,.....((...+........)),4.351879e+08,b_backfray-end_75
37,......(...+........).,9.191432e+09,f_backfray-end_80
38,.....((...+........)),5.381723e+08,b_backfray-end_74
39,.....(....+.........),7.432564e+09,f_backfray-end_78
40,.....((...+........)),4.351879e+08,b_backfray-end_75
41,......(...+........).,9.191432e+09,f_backfray-end_80
42,.....((...+........)),5.381723e+08,b_backfray-end_74
43,.....(....+.........),7.432564e+09,f_backfray-end_78
44,.....((...+........)),4.351879e+08,b_backfray-end_75
45,......(...+........).,9.191432e+09,f_backfray-end_80
46,.....((...+........)),5.381723e+08,b_backfray-end_74
47,.....(....+.........),7.432564e+09,f_backfray-end_78
48,.....((...+........)),4.351879e+08,b_backfray-end_75
49,......(...+........).,9.191432e+09,f_backfray-end_80
50,.....((...+........)),5.381723e+08,b_backfray-end_74
51,.....(....+.........),7.432564e+09,f_backfray-end_78
52,.....((...+........)),4.351879e+08,b_backfray-end_75
53,......(...+........).,9.191432e+09,f_backfray-end_80
54,.....((...+........)),5.381723e+08,b_backfray-end_74
55,.....(....+.........),7.432564e+09,f_backfray-end_78
56,.....((...+........)),4.351879e+08,b_backfray-end_75
57,......(...+........).,9.191432e+09,f_backfray-end_80
58,.....((...+........)),4.351879e+08,b_backfray-end_75
59,......(...+........).,9.191432e+09,f_backfray-end_80
60,.....((...+........)),2.694155e+07,b_sliding_73
61,....(.((..+......)).),1.317395e+09,b_backfray-end_61
62,......((..+......))..,3.036296e+09,f_backfray-end_72
63,....(.((..+......)).),3.230608e+08,b_backfray-end_60
64,......(...+.......)..,1.238157e+10,f_backfray-end_68
65,....(.((..+......)).),1.317395e+09,b_backfray-end_61
66,......((..+......))..,3.036296e+09,f_backfray-end_72
67,....(.((..+......)).),4.904540e+08,b_backfray-end_59
68,....(.(...+.......).),8.155708e+09,f_backfray-end_66
69,....(.((..+......)).),3.230608e+08,b_backfray-end_60
70,......(...+.......)..,1.238157e+10,f_backfray-end_68
71,....(.((..+......)).),1.317395e+09,b_backfray-end_61
72,......((..+......))..,3.036296e+09,f_backfray-end_72
73,....(.((..+......)).),3.230608e+08,b_backfray-end_60
74,......(...+.......)..,1.238157e+10,f_backfray-end_68
75,....(.((..+......)).),1.317395e+09,b_backfray-end_61
76,......((..+......))..,3.036296e+09,f_backfray-end_72
77,....(.((..+......)).),1.317395e+09,b_backfray-end_61
78,......((..+......))..,3.036296e+09,f_backfray-end_72
79,....(.((..+......)).),1.317395e+09,b_backfray-end_61
80,......((..+......))..,3.036296e+09,f_backfray-end_72
81,....(.((..+......)).),1.317395e+09,b_backfray-end_61
82,......((..+......))..,3.036296e+09,f_backfray-end_72
83,....(.((..+......)).),1.317395e+09,b_backfray-end_61
84,......((..+......))..,6.065168e+08,b_backfray-end_71
85,.......(..+......)...,6.595036e+09,f_backfray-end_70
86,......((..+......))..,3.036296e+09,f_backfray-end_72
87,....(.((..+......)).),4.904540e+08,b_backfray-end_59
88,....(.(...+.......).),1.629147e+09,b_backfray-end_65
89,....(.....+.........),3.160259e+08,b_off_core_63
90,..........+..........,5.809815e+08,f_off_core_13
