,trajectory,next step rate,step name
0,..........+..........,7.184670e+08,7
1,....(.....+.........),5.849710e+08,52
2,....(.(...+.......).),3.138706e+08,56
3,......(...+.......)..,7.234006e+08,60
4,....(.(...+.......).),1.943106e+09,55
5,....(.((..+......)).),3.537302e+08,59
6,.....((...+........)),6.418852e+08,33
7,....(.((..+......)).),3.138706e+08,58
8,......((..+......))..,7.234006e+08,64
9,....(.((..+......)).),3.138706e+08,58
10,......((..+......))..,1.445032e+08,65
11,.......(..+......)...,1.571274e+09,66
12,......((..+......))..,7.234006e+08,64
13,....(.((..+......)).),1.168512e+08,57
14,....(.(...+.......).),1.943106e+09,55
15,....(.((..+......)).),3.138706e+08,58
16,......((..+......))..,1.445032e+08,65
17,.......(..+......)...,1.571274e+09,66
18,......((..+......))..,7.234006e+08,64
19,....(.((..+......)).),3.138706e+08,58
20,......((..+......))..,7.234006e+08,64
21,....(.((..+......)).),3.537302e+08,59
22,.....((...+........)),1.282201e+08,31
23,.....(....+.........),1.770816e+09,29
24,.....((...+........)),6.418852e+08,33
25,....(.((..+......)).),3.537302e+08,59
26,.....((...+........)),1.036840e+08,32
27,......(...+........).,2.189868e+09,34
28,.....((...+........)),6.418852e+08,33
29,....(.((..+......)).),3.138706e+08,58
30,......((..+......))..,7.234006e+08,64
31,....(.((..+......)).),1.168512e+08,57
32,....(.(...+.......).),1.943106e+09,55
33,....(.((..+......)).),3.537302e+08,59
34,.....((...+........)),6.418852e+08,33
35,....(.((..+......)).),3.537302e+08,59
36,.....((...+........)),1.036840e+08,32
37,......(...+........).,2.189868e+09,34
38,.....((...+........)),6.418852e+08,33
39,....(.((..+......)).),3.138706e+08,58
40,......((..+......))..,1.445032e+08,65
41,.......(..+......)...,1.571274e+09,66
42,......((..+......))..,7.234006e+08,64
43,....(.((..+......)).),3.537302e+08,59
44,.....((...+........)),6.418852e+08,33
45,....(.((..+......)).),3.537302e+08,59
46,.....((...+........)),1.282201e+08,31
47,.....(....+.........),3.160259e+08,30
48,..........+..........,7.184670e+08,14
49,....(.....+.....)....,3.160259e+08,186
50,..........+..........,7.184670e+08,13
51,...(......+......)...,3.160259e+08,160
52,..........+..........,7.184670e+08,14
53,....(.....+.....)....,3.802083e+09,184
54,...((.....+.....))...,1.571274e+09,162
55,..(((.....+.....)))..,2.691884e+09,137
56,..((((....+....))))..,1.357624e+09,140
57,.(((((....+....))))).,1.770816e+09,111
58,.((((((...+...)))))).,2.189868e+09,114
59,(((((((...+...))))))),1.943106e+09,86
60,((((((((..+..)))))))),1.168512e+08,88
61,(((((((...+...))))))),1.943106e+09,86
62,((((((((..+..)))))))),1.527644e+09,89
63,(((((((((.+.))))))))),9.456263e+08,92
64,((((((((((+)))))))))),1.036840e+08,21
65,.(((((((((+))))))))).,2.189868e+09,126
66,((((((((((+)))))))))),1.036840e+08,21
67,.(((((((((+))))))))).,2.189868e+09,126
68,((((((((((+)))))))))),2.401098e+08,20
69,(((((((((.+.))))))))),9.456263e+08,92
70,((((((((((+)))))))))),2.401098e+08,20
71,(((((((((.+.))))))))),9.456263e+08,92
72,((((((((((+)))))))))),2.401098e+08,20
73,(((((((((.+.))))))))),9.456263e+08,92
74,((((((((((+)))))))))),1.036840e+08,21
75,.(((((((((+))))))))).,2.189868e+09,126
76,((((((((((+)))))))))),2.401098e+08,20
77,(((((((((.+.))))))))),1.486303e+08,91
78,((((((((..+..)))))))),1.527644e+09,89
79,(((((((((.+.))))))))),1.486303e+08,91
80,((((((((..+..)))))))),1.168512e+08,88
81,(((((((...+...))))))),1.943106e+09,86
82,((((((((..+..)))))))),1.527644e+09,89
83,(((((((((.+.))))))))),9.456263e+08,92
84,((((((((((+)))))))))),2.401098e+08,20
85,(((((((((.+.))))))))),9.456263e+08,92
86,((((((((((+)))))))))),2.401098e+08,20
87,(((((((((.+.))))))))),9.456263e+08,92
88,((((((((((+)))))))))),2.401098e+08,20
89,(((((((((.+.))))))))),9.456263e+08,92
90,((((((((((+)))))))))),1.036840e+08,21
91,.(((((((((+))))))))).,2.189868e+09,126
92,((((((((((+)))))))))),1.036840e+08,21
93,.(((((((((+))))))))).,2.189868e+09,126
