,trajectory,next step rate,step name
0,..........+..........,7.184670e+08,2
1,.....(....+.........),1.770816e+09,29
2,.....((...+........)),6.418852e+08,33
3,....(.((..+......)).),3.138706e+08,58
4,......((..+......))..,1.168512e+08,63
5,......(...+.......)..,1.943106e+09,61
6,......((..+......))..,1.168512e+08,63
7,......(...+.......)..,1.943106e+09,61
8,......((..+......))..,7.234006e+08,64
9,....(.((..+......)).),3.537302e+08,59
10,.....((...+........)),6.418852e+08,33
11,....(.((..+......)).),3.537302e+08,59
12,.....((...+........)),6.418852e+08,33
13,....(.((..+......)).),3.138706e+08,58
14,......((..+......))..,7.234006e+08,64
15,....(.((..+......)).),3.537302e+08,59
16,.....((...+........)),6.418852e+08,33
17,....(.((..+......)).),3.537302e+08,59
18,.....((...+........)),1.282201e+08,31
19,.....(....+.........),1.770816e+09,29
20,.....((...+........)),6.418852e+08,33
21,....(.((..+......)).),1.168512e+08,57
22,....(.(...+.......).),3.881460e+08,54
23,....(.....+.........),3.160259e+08,53
24,..........+..........,5.809815e+08,3
25,......(...+........).,3.908113e+08,35
26,..........+..........,7.184670e+08,0
27,(.........+....).....,1.770816e+09,22
28,((........+...)).....,1.059257e+08,26
29,(.((......+..)).)....,2.143523e+09,43
30,((........+...)).....,1.036840e+08,25
31,.(........+...)......,3.908113e+08,28
32,..........+..........,7.184670e+08,17
33,.......(..+..).......,1.527644e+09,239
34,.......((.+.)).......,9.456263e+08,243
35,.......(((+))).......,1.571274e+09,246
36,......((((+))))......,2.189868e+09,236
37,.....(((((+))))).....,2.691884e+09,222
38,....((((((+))))))....,3.802083e+09,204
39,...(((((((+)))))))...,1.571274e+09,182
40,..((((((((+))))))))..,1.357624e+09,156
41,.(((((((((+))))))))).,2.189868e+09,126
42,((((((((((+)))))))))),1.036840e+08,21
43,.(((((((((+))))))))).,2.189868e+09,126
44,((((((((((+)))))))))),2.401098e+08,20
45,(((((((((.+.))))))))),9.456263e+08,92
46,((((((((((+)))))))))),2.401098e+08,20
47,(((((((((.+.))))))))),9.456263e+08,92
48,((((((((((+)))))))))),2.401098e+08,20
49,(((((((((.+.))))))))),9.456263e+08,92
50,((((((((((+)))))))))),1.036840e+08,21
51,.(((((((((+))))))))).,2.189868e+09,126
52,((((((((((+)))))))))),2.401098e+08,20
53,(((((((((.+.))))))))),9.456263e+08,92
54,((((((((((+)))))))))),2.401098e+08,20
55,(((((((((.+.))))))))),9.456263e+08,92
56,((((((((((+)))))))))),2.401098e+08,20
57,(((((((((.+.))))))))),9.456263e+08,92
58,((((((((((+)))))))))),2.401098e+08,20
59,(((((((((.+.))))))))),9.456263e+08,92
60,((((((((((+)))))))))),2.401098e+08,20
61,(((((((((.+.))))))))),9.456263e+08,92
62,((((((((((+)))))))))),2.401098e+08,20
63,(((((((((.+.))))))))),9.456263e+08,92
64,((((((((((+)))))))))),1.036840e+08,21
65,.(((((((((+))))))))).,2.189868e+09,126
66,((((((((((+)))))))))),2.401098e+08,20
67,(((((((((.+.))))))))),9.456263e+08,92
68,((((((((((+)))))))))),2.401098e+08,20
69,(((((((((.+.))))))))),9.456263e+08,92
70,((((((((((+)))))))))),1.036840e+08,21
71,.(((((((((+))))))))).,2.189868e+09,126
72,((((((((((+)))))))))),2.401098e+08,20
73,(((((((((.+.))))))))),9.456263e+08,92
74,((((((((((+)))))))))),2.401098e+08,20
75,(((((((((.+.))))))))),9.456263e+08,92
76,((((((((((+)))))))))),2.401098e+08,20
77,(((((((((.+.))))))))),9.456263e+08,92
78,((((((((((+)))))))))),2.401098e+08,20
79,(((((((((.+.))))))))),9.456263e+08,92
80,((((((((((+)))))))))),2.401098e+08,20
81,(((((((((.+.))))))))),1.036840e+08,93
82,.((((((((.+.)))))))).,1.486303e+08,121
