,trajectory,next step rate,step name
0,..........+..........,4.765020e+08,f_on_core_0
1,(.........+.........),2.000000e+09,f_zipping_233
2,((........+........)),2.000000e+09,f_zipping_235
3,(((.......+.......))),2.000000e+09,f_zipping_237
4,((((......+......)))),2.000000e+09,f_zipping_240
5,(((((.....+.....))))),2.000000e+09,f_zipping_242
6,((((((....+....)))))),2.000000e+09,f_zipping_245
7,(((((((...+...))))))),2.000000e+09,f_zipping_247
8,((((((((..+..)))))))),2.000000e+09,f_zipping_250
9,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
10,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
11,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
12,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
13,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
14,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
15,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
16,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
17,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
18,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
19,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
20,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
21,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
22,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
23,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
24,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
25,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
26,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
27,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
28,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
29,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
30,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
31,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
32,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
33,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
34,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
35,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
36,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
37,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
38,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
39,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
40,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
41,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
42,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
43,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
44,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
45,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
46,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
47,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
48,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
49,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
50,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
51,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
52,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
53,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
54,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
55,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
56,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
57,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
58,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
59,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
60,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
61,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
62,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
63,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
64,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
65,(((((((((.+.))))))))),3.374497e+07,b_zipping_251
66,((((((((..+..)))))))),2.000000e+09,f_zipping_250
67,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
68,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
69,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
70,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
71,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
72,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
73,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
74,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
75,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
76,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
77,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
78,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
79,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
80,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
81,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
82,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
83,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
84,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
85,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
86,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
87,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
88,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
89,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
90,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
91,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
92,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
93,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
94,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
95,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
96,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
97,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
98,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
99,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
100,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
101,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
102,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
103,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
104,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
105,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
106,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
107,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
108,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
109,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
110,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
111,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
112,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
113,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
114,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
115,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
116,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
117,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
118,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
119,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
120,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
121,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
