,trajectory,DG,next step rate,step name
0,..........+..........,0.0,3.124402e+06,off_nucleation-3
1,......(...+.)........,-0.4860420673588002,2.090752e+08,off_nucleation-65
2,..........+..........,0.0,2.499522e+06,on_nucleation-16
3,......(...+...)......,-0.4860420673588002,2.090752e+08,on_nucleation-276
4,..........+..........,0.0,3.124402e+06,off_nucleation-9
5,.........(+..).......,-0.2196709566059385,3.277737e+08,off_nucleation-117
6,..........+..........,0.0,2.499522e+06,on_nucleation-11
7,.(........+........).,-0.2196709566059385,3.277737e+08,on_nucleation-146
8,..........+..........,0.0,2.499522e+06,on_nucleation-15
9,.....(....+....).....,-0.2196709566059385,3.277737e+08,on_nucleation-258
10,..........+..........,0.0,2.499522e+06,on_nucleation-16
11,......(...+...)......,-0.4860420673588002,2.090752e+08,on_nucleation-276
12,..........+..........,0.0,2.499522e+06,on_nucleation-13
13,...(......+......)...,-0.4860420673588002,2.090752e+08,on_nucleation-210
14,..........+..........,0.0,3.124402e+06,off_nucleation-8
15,........(.+...)......,-0.4860420673588002,2.000000e+07,zipping-110
16,.......((.+...)).....,-2.062145565666071,2.000000e+07,zipping-105
17,.......(((+..))).....,-3.6517312500123555,1.398361e+06,zipping-109
18,........((+..))......,-2.0756277517050843,2.000000e+07,zipping-114
19,.......(((+..))).....,-3.6517312500123555,2.000000e+07,zipping-108
20,......((((+..))))....,-5.5076880451115,1.679757e+10,sliding-98
21,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
22,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
23,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
24,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
25,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
26,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
27,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
28,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
29,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
30,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
31,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
32,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
33,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
34,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
35,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
36,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
37,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
38,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
39,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
40,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
41,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
42,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
43,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
44,(((((((((.+.))))))))),-13.538537634020095,8.919652e+05,zipping-141
45,((((((((..+..)))))))),-11.696063024959964,2.000000e+07,zipping-139
46,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
47,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
48,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
49,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
50,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
51,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
52,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
53,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
54,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
55,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
56,.(((((((((+))))))))).,-13.86115572204202,2.356356e+06,zipping-177
57,..((((((((+))))))))..,-12.59418812571766,2.000000e+07,zipping-206
58,.(((((((((+))))))))).,-13.86115572204202,2.356356e+06,zipping-177
59,..((((((((+))))))))..,-12.59418812571766,1.366897e+06,zipping-205
60,..(((((((.+.)))))))..,-11.004602441371375,2.000000e+07,zipping-203
61,..((((((((+))))))))..,-12.59418812571766,2.000000e+07,zipping-206
62,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
63,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
64,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
65,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
66,.(((((((((+))))))))).,-13.86115572204202,2.356356e+06,zipping-177
67,..((((((((+))))))))..,-12.59418812571766,2.000000e+07,zipping-206
68,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
69,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
70,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
71,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
72,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
73,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
74,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
75,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
76,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
77,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
78,(((((((((.+.))))))))),-13.538537634020095,2.356356e+06,zipping-143
79,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-173
80,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
81,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
82,(((((((((.+.))))))))),-13.538537634020095,8.919652e+05,zipping-141
83,((((((((..+..)))))))),-11.696063024959964,2.356356e+06,zipping-140
84,.(((((((..+..))))))).,-10.429095428635604,2.000000e+07,zipping-169
85,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-172
86,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
87,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
88,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
89,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
90,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
91,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
92,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
93,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
94,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
95,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
96,(((((((((.+.))))))))),-13.538537634020095,2.356356e+06,zipping-143
97,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-173
98,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
99,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
100,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
101,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
102,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
103,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
104,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
105,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
106,.(((((((((+))))))))).,-13.86115572204202,2.356356e+06,zipping-177
107,..((((((((+))))))))..,-12.59418812571766,1.398361e+06,zipping-207
108,...(((((((+)))))))...,-11.01808462741039,2.000000e+07,zipping-232
109,..((((((((+))))))))..,-12.59418812571766,2.000000e+07,zipping-206
110,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
111,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
112,(((((((((.+.))))))))),-13.538537634020095,2.356356e+06,zipping-143
113,.((((((((.+.)))))))).,-12.271570037695735,8.919652e+05,zipping-171
114,.(((((((..+..))))))).,-10.429095428635604,2.000000e+07,zipping-168
115,((((((((..+..)))))))),-11.696063024959964,2.000000e+07,zipping-139
116,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
117,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
118,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
119,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
120,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
121,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
122,(((((((((.+.))))))))),-13.538537634020095,2.356356e+06,zipping-143
123,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-172
124,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
125,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
126,(((((((((.+.))))))))),-13.538537634020095,2.356356e+06,zipping-143
127,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-173
128,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
129,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
130,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
131,((((((((((+)))))))))),,,
