,trajectory,next step rate,step name
0,..........+..........,7.184670e+08,1
1,.(........+).........,1.770816e+09,44
2,((........+))........,1.282201e+08,43
3,.(........+).........,1.770816e+09,44
4,((........+))........,1.282201e+08,43
5,.(........+).........,1.770816e+09,44
6,((........+))........,1.036840e+08,42
7,(.........+.)........,2.189868e+09,40
8,((........+))........,1.282201e+08,43
9,.(........+).........,1.770816e+09,44
10,((........+))........,1.282201e+08,43
11,.(........+).........,1.770816e+09,44
12,((........+))........,1.282201e+08,43
13,.(........+).........,1.770816e+09,44
14,((........+))........,1.282201e+08,43
15,.(........+).........,1.770816e+09,44
16,((........+))........,1.282201e+08,43
17,.(........+).........,1.770816e+09,44
18,((........+))........,1.282201e+08,43
19,.(........+).........,1.770816e+09,44
20,((........+))........,1.036840e+08,42
21,(.........+.)........,2.189868e+09,40
22,((........+))........,1.282201e+08,43
23,.(........+).........,1.770816e+09,44
24,((........+))........,1.282201e+08,43
25,.(........+).........,1.770816e+09,44
26,((........+))........,1.282201e+08,43
27,.(........+).........,1.770816e+09,44
28,((........+))........,1.282201e+08,43
29,.(........+).........,1.770816e+09,44
30,((........+))........,1.036840e+08,42
31,(.........+.)........,2.189868e+09,40
32,((........+))........,1.282201e+08,43
33,.(........+).........,1.770816e+09,44
34,((........+))........,1.282201e+08,43
35,.(........+).........,1.770816e+09,44
36,((........+))........,1.282201e+08,43
37,.(........+).........,1.770816e+09,44
38,((........+))........,1.036840e+08,42
39,(.........+.)........,2.189868e+09,40
40,((........+))........,1.282201e+08,43
41,.(........+).........,1.770816e+09,44
42,((........+))........,1.036840e+08,42
43,(.........+.)........,2.189868e+09,40
44,((........+))........,1.282201e+08,43
45,.(........+).........,1.770816e+09,44
46,((........+))........,1.036840e+08,42
47,(.........+.)........,2.189868e+09,40
48,((........+))........,1.282201e+08,43
49,.(........+).........,1.770816e+09,44
50,((........+))........,1.036840e+08,42
51,(.........+.)........,2.189868e+09,40
52,((........+))........,1.036840e+08,42
53,(.........+.)........,2.189868e+09,40
54,((........+))........,1.282201e+08,43
55,.(........+).........,1.770816e+09,44
56,((........+))........,1.036840e+08,42
57,(.........+.)........,2.189868e+09,40
58,((........+))........,1.036840e+08,42
59,(.........+.)........,2.189868e+09,40
60,((........+))........,1.282201e+08,43
61,.(........+).........,3.160259e+08,45
62,..........+..........,7.184670e+08,28
63,..(.......+.......)..,2.691884e+09,256
64,.((.......+.......)).,1.790575e+09,227
65,.(((......+......))).,1.770816e+09,230
66,((((......+......)))),1.357624e+09,205
67,(((((.....+.....))))),1.357624e+09,208
68,((((((....+....)))))),1.672437e+08,210
69,(((((.....+.....))))),1.357624e+09,208
70,((((((....+....)))))),2.189868e+09,211
71,(((((((...+...))))))),2.691884e+09,214
72,((((((((..+..)))))))),1.790575e+09,217
73,(((((((((.+.))))))))),2.189868e+09,220
74,((((((((((+)))))))))),1.282201e+08,39
75,.(((((((((+))))))))).,1.770816e+09,254
76,((((((((((+)))))))))),1.282201e+08,39
77,.(((((((((+))))))))).,1.770816e+09,254
78,((((((((((+)))))))))),1.282201e+08,39
79,.(((((((((+))))))))).,1.036840e+08,253
80,.((((((((.+.)))))))).,2.189868e+09,251
81,.(((((((((+))))))))).,1.770816e+09,254
82,((((((((((+)))))))))),1.036840e+08,38
83,(((((((((.+.))))))))),2.189868e+09,220
84,((((((((((+)))))))))),1.036840e+08,38
85,(((((((((.+.))))))))),2.189868e+09,220
86,((((((((((+)))))))))),1.036840e+08,38
87,(((((((((.+.))))))))),2.189868e+09,220
88,((((((((((+)))))))))),1.282201e+08,39
89,.(((((((((+))))))))).,1.770816e+09,254
90,((((((((((+)))))))))),1.036840e+08,38
91,(((((((((.+.))))))))),2.189868e+09,220
92,((((((((((+)))))))))),1.282201e+08,39
93,.(((((((((+))))))))).,1.770816e+09,254
94,((((((((((+)))))))))),1.282201e+08,39
95,.(((((((((+))))))))).,1.770816e+09,254
96,((((((((((+)))))))))),1.282201e+08,39
97,.(((((((((+))))))))).,1.770816e+09,254
98,((((((((((+)))))))))),1.036840e+08,38
99,(((((((((.+.))))))))),2.189868e+09,220
100,((((((((((+)))))))))),1.036840e+08,38
101,(((((((((.+.))))))))),2.189868e+09,220
102,((((((((((+)))))))))),1.036840e+08,38
103,(((((((((.+.))))))))),2.189868e+09,220
104,((((((((((+)))))))))),1.282201e+08,39
105,.(((((((((+))))))))).,1.770816e+09,254
106,((((((((((+)))))))))),1.282201e+08,39
107,.(((((((((+))))))))).,8.434767e+07,255
108,..((((((((+))))))))..,2.691884e+09,284
109,.(((((((((+))))))))).,1.770816e+09,254
110,((((((((((+)))))))))),1.036840e+08,38
111,(((((((((.+.))))))))),2.189868e+09,220
112,((((((((((+)))))))))),1.282201e+08,39
113,.(((((((((+))))))))).,1.770816e+09,254
114,((((((((((+)))))))))),1.282201e+08,39
115,.(((((((((+))))))))).,1.770816e+09,254
116,((((((((((+)))))))))),1.036840e+08,38
117,(((((((((.+.))))))))),2.189868e+09,220
118,((((((((((+)))))))))),1.036840e+08,38
119,(((((((((.+.))))))))),2.189868e+09,220
120,((((((((((+)))))))))),1.036840e+08,38
121,(((((((((.+.))))))))),2.189868e+09,220
122,((((((((((+)))))))))),1.282201e+08,39
123,.(((((((((+))))))))).,1.770816e+09,254
124,((((((((((+)))))))))),1.282201e+08,39
125,.(((((((((+))))))))).,1.770816e+09,254
126,((((((((((+)))))))))),1.036840e+08,38
127,(((((((((.+.))))))))),2.189868e+09,220
128,((((((((((+)))))))))),1.036840e+08,38
129,(((((((((.+.))))))))),2.189868e+09,220
130,((((((((((+)))))))))),1.282201e+08,39
