,trajectory,next step rate,step name
0,..........+..........,7.184670e+08,3
1,.........(+........).,1.770816e+09,50
2,........((+........)),1.036840e+08,48
3,........(.+.........),2.189868e+09,46
4,........((+........)),1.036840e+08,48
5,........(.+.........),2.189868e+09,46
6,........((+........)),1.036840e+08,48
7,........(.+.........),3.908113e+08,47
8,..........+..........,7.184670e+08,25
9,.......(..+...)......,3.160259e+08,195
10,..........+..........,7.184670e+08,5
11,.(........+...)......,1.770816e+09,62
12,((........+...)).....,2.691884e+09,55
13,(((.......+..))).....,1.790575e+09,58
14,((((......+.)))).....,1.282201e+08,61
15,.(((......+.)))......,1.770816e+09,70
16,((((......+.)))).....,1.282201e+08,61
17,.(((......+.)))......,1.770816e+09,70
18,((((......+.)))).....,1.282201e+08,61
19,.(((......+.)))......,1.770816e+09,70
20,((((......+.)))).....,1.268051e+08,60
21,(((.......+..))).....,1.790575e+09,58
22,((((......+.)))).....,1.282201e+08,61
23,.(((......+.)))......,1.770816e+09,70
24,((((......+.)))).....,1.268051e+08,60
25,(((.......+..))).....,1.790575e+09,58
26,((((......+.)))).....,1.282201e+08,61
27,.(((......+.)))......,1.770816e+09,70
28,((((......+.)))).....,1.268051e+08,60
29,(((.......+..))).....,1.790575e+09,58
30,((((......+.)))).....,1.282201e+08,61
31,.(((......+.)))......,1.770816e+09,70
32,((((......+.)))).....,1.282201e+08,61
33,.(((......+.)))......,1.770816e+09,70
34,((((......+.)))).....,1.282201e+08,61
35,.(((......+.)))......,1.770816e+09,70
36,((((......+.)))).....,1.268051e+08,60
37,(((.......+..))).....,8.434767e+07,57
38,((........+...)).....,2.691884e+09,55
39,(((.......+..))).....,1.790575e+09,58
40,((((......+.)))).....,1.282201e+08,61
41,.(((......+.)))......,1.268051e+08,69
42,.((.......+..))......,1.790575e+09,67
43,.(((......+.)))......,1.770816e+09,70
44,((((......+.)))).....,1.268051e+08,60
45,(((.......+..))).....,1.790575e+09,58
46,((((......+.)))).....,1.268051e+08,60
47,(((.......+..))).....,1.790575e+09,58
48,((((......+.)))).....,1.282201e+08,61
49,.(((......+.)))......,1.770816e+09,70
50,((((......+.)))).....,1.268051e+08,60
51,(((.......+..))).....,1.790575e+09,58
52,((((......+.)))).....,1.282201e+08,61
53,.(((......+.)))......,1.770816e+09,70
54,((((......+.)))).....,1.282201e+08,61
55,.(((......+.)))......,1.770816e+09,70
56,((((......+.)))).....,1.268051e+08,60
57,(((.......+..))).....,1.790575e+09,58
58,((((......+.)))).....,1.268051e+08,60
59,(((.......+..))).....,1.790575e+09,58
60,((((......+.)))).....,1.268051e+08,60
61,(((.......+..))).....,1.790575e+09,58
62,((((......+.)))).....,1.268051e+08,60
63,(((.......+..))).....,1.790575e+09,58
64,((((......+.)))).....,1.268051e+08,60
65,(((.......+..))).....,1.790575e+09,58
66,((((......+.)))).....,1.268051e+08,60
67,(((.......+..))).....,1.282201e+08,59
68,.((.......+..))......,1.770816e+09,66
69,(((.......+..))).....,1.790575e+09,58
70,((((......+.)))).....,1.282201e+08,61
71,.(((......+.)))......,1.770816e+09,70
72,((((......+.)))).....,1.268051e+08,60
73,(((.......+..))).....,1.790575e+09,58
74,((((......+.)))).....,1.282201e+08,61
75,.(((......+.)))......,1.770816e+09,70
76,((((......+.)))).....,1.268051e+08,60
77,(((.......+..))).....,1.790575e+09,58
78,((((......+.)))).....,1.268051e+08,60
79,(((.......+..))).....,1.790575e+09,58
80,((((......+.)))).....,1.268051e+08,60
81,(((.......+..))).....,1.790575e+09,58
82,((((......+.)))).....,1.282201e+08,61
83,.(((......+.)))......,1.770816e+09,70
84,((((......+.)))).....,1.282201e+08,61
85,.(((......+.)))......,1.770816e+09,70
86,((((......+.)))).....,1.282201e+08,61
87,.(((......+.)))......,1.770816e+09,70
88,((((......+.)))).....,1.268051e+08,60
89,(((.......+..))).....,1.790575e+09,58
90,((((......+.)))).....,1.282201e+08,61
91,.(((......+.)))......,1.770816e+09,70
92,((((......+.)))).....,1.282201e+08,61
93,.(((......+.)))......,1.770816e+09,70
94,((((......+.)))).....,1.282201e+08,61
95,.(((......+.)))......,1.770816e+09,70
96,((((......+.)))).....,1.282201e+08,61
97,.(((......+.)))......,1.770816e+09,70
98,((((......+.)))).....,1.282201e+08,61
99,.(((......+.)))......,1.770816e+09,70
100,((((......+.)))).....,1.282201e+08,61
101,.(((......+.)))......,1.770816e+09,70
102,((((......+.)))).....,1.268051e+08,60
103,(((.......+..))).....,1.790575e+09,58
104,((((......+.)))).....,1.268051e+08,60
105,(((.......+..))).....,1.790575e+09,58
106,((((......+.)))).....,1.282201e+08,61
107,.(((......+.)))......,1.770816e+09,70
108,((((......+.)))).....,1.268051e+08,60
109,(((.......+..))).....,1.790575e+09,58
110,((((......+.)))).....,1.282201e+08,61
111,.(((......+.)))......,1.770816e+09,70
112,((((......+.)))).....,1.282201e+08,61
113,.(((......+.)))......,1.770816e+09,70
114,((((......+.)))).....,1.282201e+08,61
115,.(((......+.)))......,1.770816e+09,70
116,((((......+.)))).....,1.282201e+08,61
117,.(((......+.)))......,1.770816e+09,70
118,((((......+.)))).....,1.268051e+08,60
119,(((.......+..))).....,1.790575e+09,58
120,((((......+.)))).....,1.282201e+08,61
121,.(((......+.)))......,1.770816e+09,70
122,((((......+.)))).....,1.282201e+08,61
123,.(((......+.)))......,1.770816e+09,70
124,((((......+.)))).....,1.282201e+08,61
125,.(((......+.)))......,1.770816e+09,70
126,((((......+.)))).....,1.282201e+08,61
127,.(((......+.)))......,1.770816e+09,70
128,((((......+.)))).....,1.282201e+08,61
129,.(((......+.)))......,1.770816e+09,70
130,((((......+.)))).....,1.282201e+08,61
131,.(((......+.)))......,1.770816e+09,70
132,((((......+.)))).....,1.268051e+08,60
133,(((.......+..))).....,1.790575e+09,58
134,((((......+.)))).....,1.282201e+08,61
135,.(((......+.)))......,1.770816e+09,70
136,((((......+.)))).....,1.268051e+08,60
137,(((.......+..))).....,1.790575e+09,58
138,((((......+.)))).....,1.282201e+08,61
139,.(((......+.)))......,1.770816e+09,70
140,((((......+.)))).....,1.268051e+08,60
141,(((.......+..))).....,1.790575e+09,58
142,((((......+.)))).....,1.282201e+08,61
143,.(((......+.)))......,8.434767e+07,71
144,..((......+.)).......,2.691884e+09,76
145,.(((......+.)))......,1.770816e+09,70
146,((((......+.)))).....,1.268051e+08,60
147,(((.......+..))).....,1.790575e+09,58
148,((((......+.)))).....,1.282201e+08,61
149,.(((......+.)))......,1.770816e+09,70
150,((((......+.)))).....,1.282201e+08,61
151,.(((......+.)))......,1.770816e+09,70
152,((((......+.)))).....,1.268051e+08,60
153,(((.......+..))).....,1.790575e+09,58
154,((((......+.)))).....,1.282201e+08,61
155,.(((......+.)))......,1.770816e+09,70
156,((((......+.)))).....,1.268051e+08,60
157,(((.......+..))).....,1.790575e+09,58
158,((((......+.)))).....,1.268051e+08,60
159,(((.......+..))).....,1.790575e+09,58
160,((((......+.)))).....,1.282201e+08,61
161,.(((......+.)))......,1.770816e+09,70
162,((((......+.)))).....,1.282201e+08,61
163,.(((......+.)))......,1.770816e+09,70
164,((((......+.)))).....,1.282201e+08,61
165,.(((......+.)))......,1.770816e+09,70
166,((((......+.)))).....,1.282201e+08,61
167,.(((......+.)))......,1.770816e+09,70
168,((((......+.)))).....,1.268051e+08,60
169,(((.......+..))).....,8.434767e+07,57
170,((........+...)).....,2.691884e+09,55
171,(((.......+..))).....,8.434767e+07,57
172,((........+...)).....,2.691884e+09,55
173,(((.......+..))).....,1.790575e+09,58
174,((((......+.)))).....,1.268051e+08,60
175,(((.......+..))).....,1.790575e+09,58
176,((((......+.)))).....,1.282201e+08,61
177,.(((......+.)))......,1.770816e+09,70
178,((((......+.)))).....,1.268051e+08,60
179,(((.......+..))).....,1.790575e+09,58
180,((((......+.)))).....,1.268051e+08,60
181,(((.......+..))).....,1.282201e+08,59
182,.((.......+..))......,1.790575e+09,67
183,.(((......+.)))......,8.434767e+07,71
184,..((......+.)).......,2.691884e+09,76
185,.(((......+.)))......,1.770816e+09,70
186,((((......+.)))).....,1.268051e+08,60
187,(((.......+..))).....,1.790575e+09,58
188,((((......+.)))).....,1.282201e+08,61
189,.(((......+.)))......,1.770816e+09,70
190,((((......+.)))).....,1.268051e+08,60
191,(((.......+..))).....,1.282201e+08,59
192,.((.......+..))......,1.770816e+09,66
193,(((.......+..))).....,1.790575e+09,58
194,((((......+.)))).....,1.282201e+08,61
195,.(((......+.)))......,1.770816e+09,70
196,((((......+.)))).....,1.268051e+08,60
197,(((.......+..))).....,1.790575e+09,58
198,((((......+.)))).....,1.268051e+08,60
199,(((.......+..))).....,1.790575e+09,58
200,((((......+.)))).....,1.282201e+08,61
201,.(((......+.)))......,1.770816e+09,70
202,((((......+.)))).....,1.282201e+08,61
203,.(((......+.)))......,1.770816e+09,70
204,((((......+.)))).....,1.268051e+08,60
205,(((.......+..))).....,1.790575e+09,58
206,((((......+.)))).....,1.268051e+08,60
207,(((.......+..))).....,1.790575e+09,58
208,((((......+.)))).....,1.282201e+08,61
209,.(((......+.)))......,1.770816e+09,70
210,((((......+.)))).....,1.282201e+08,61
211,.(((......+.)))......,1.770816e+09,70
212,((((......+.)))).....,1.268051e+08,60
213,(((.......+..))).....,1.790575e+09,58
214,((((......+.)))).....,1.282201e+08,61
215,.(((......+.)))......,1.770816e+09,70
216,((((......+.)))).....,1.268051e+08,60
217,(((.......+..))).....,1.282201e+08,59
218,.((.......+..))......,1.770816e+09,66
219,(((.......+..))).....,1.790575e+09,58
220,((((......+.)))).....,1.268051e+08,60
221,(((.......+..))).....,1.790575e+09,58
222,((((......+.)))).....,1.268051e+08,60
223,(((.......+..))).....,1.790575e+09,58
224,((((......+.)))).....,1.268051e+08,60
225,(((.......+..))).....,1.790575e+09,58
226,((((......+.)))).....,1.282201e+08,61
227,.(((......+.)))......,1.770816e+09,70
228,((((......+.)))).....,1.282201e+08,61
229,.(((......+.)))......,1.770816e+09,70
230,((((......+.)))).....,1.282201e+08,61
231,.(((......+.)))......,1.770816e+09,70
232,((((......+.)))).....,1.282201e+08,61
233,.(((......+.)))......,1.770816e+09,70
234,((((......+.)))).....,1.268051e+08,60
235,(((.......+..))).....,1.790575e+09,58
236,((((......+.)))).....,1.282201e+08,61
237,.(((......+.)))......,1.268051e+08,69
238,.((.......+..))......,1.790575e+09,67
239,.(((......+.)))......,1.770816e+09,70
240,((((......+.)))).....,1.268051e+08,60
241,(((.......+..))).....,1.790575e+09,58
242,((((......+.)))).....,1.282201e+08,61
243,.(((......+.)))......,1.770816e+09,70
244,((((......+.)))).....,1.282201e+08,61
245,.(((......+.)))......,1.770816e+09,70
246,((((......+.)))).....,1.282201e+08,61
247,.(((......+.)))......,1.770816e+09,70
248,((((......+.)))).....,1.268051e+08,60
249,(((.......+..))).....,8.434767e+07,57
250,((........+...)).....,2.691884e+09,55
251,(((.......+..))).....,1.790575e+09,58
252,((((......+.)))).....,1.268051e+08,60
253,(((.......+..))).....,1.790575e+09,58
254,((((......+.)))).....,1.268051e+08,60
255,(((.......+..))).....,1.790575e+09,58
256,((((......+.)))).....,1.282201e+08,61
257,.(((......+.)))......,1.770816e+09,70
258,((((......+.)))).....,1.268051e+08,60
259,(((.......+..))).....,1.790575e+09,58
260,((((......+.)))).....,1.282201e+08,61
261,.(((......+.)))......,1.268051e+08,69
262,.((.......+..))......,1.790575e+09,67
263,.(((......+.)))......,1.268051e+08,69
264,.((.......+..))......,1.790575e+09,67
265,.(((......+.)))......,1.770816e+09,70
266,((((......+.)))).....,1.268051e+08,60
267,(((.......+..))).....,1.790575e+09,58
268,((((......+.)))).....,1.282201e+08,61
269,.(((......+.)))......,1.770816e+09,70
270,((((......+.)))).....,1.282201e+08,61
271,.(((......+.)))......,1.770816e+09,70
272,((((......+.)))).....,1.282201e+08,61
273,.(((......+.)))......,1.770816e+09,70
274,((((......+.)))).....,1.268051e+08,60
275,(((.......+..))).....,1.790575e+09,58
276,((((......+.)))).....,1.268051e+08,60
277,(((.......+..))).....,1.790575e+09,58
278,((((......+.)))).....,1.282201e+08,61
279,.(((......+.)))......,1.770816e+09,70
280,((((......+.)))).....,1.282201e+08,61
281,.(((......+.)))......,1.770816e+09,70
282,((((......+.)))).....,1.282201e+08,61
283,.(((......+.)))......,1.770816e+09,70
284,((((......+.)))).....,1.282201e+08,61
285,.(((......+.)))......,1.770816e+09,70
286,((((......+.)))).....,1.282201e+08,61
287,.(((......+.)))......,1.770816e+09,70
288,((((......+.)))).....,1.282201e+08,61
289,.(((......+.)))......,1.770816e+09,70
290,((((......+.)))).....,1.282201e+08,61
291,.(((......+.)))......,1.770816e+09,70
292,((((......+.)))).....,1.268051e+08,60
293,(((.......+..))).....,1.790575e+09,58
294,((((......+.)))).....,1.282201e+08,61
295,.(((......+.)))......,1.770816e+09,70
296,((((......+.)))).....,1.282201e+08,61
297,.(((......+.)))......,1.770816e+09,70
298,((((......+.)))).....,1.268051e+08,60
299,(((.......+..))).....,1.790575e+09,58
300,((((......+.)))).....,1.268051e+08,60
301,(((.......+..))).....,1.790575e+09,58
302,((((......+.)))).....,1.268051e+08,60
303,(((.......+..))).....,1.282201e+08,59
304,.((.......+..))......,1.770816e+09,66
305,(((.......+..))).....,1.790575e+09,58
306,((((......+.)))).....,1.282201e+08,61
307,.(((......+.)))......,1.770816e+09,70
308,((((......+.)))).....,1.268051e+08,60
309,(((.......+..))).....,1.790575e+09,58
310,((((......+.)))).....,1.268051e+08,60
311,(((.......+..))).....,1.790575e+09,58
312,((((......+.)))).....,1.268051e+08,60
313,(((.......+..))).....,1.790575e+09,58
314,((((......+.)))).....,1.282201e+08,61
315,.(((......+.)))......,1.770816e+09,70
316,((((......+.)))).....,1.268051e+08,60
317,(((.......+..))).....,1.790575e+09,58
318,((((......+.)))).....,1.282201e+08,61
319,.(((......+.)))......,1.770816e+09,70
320,((((......+.)))).....,1.282201e+08,61
321,.(((......+.)))......,8.434767e+07,71
322,..((......+.)).......,2.691884e+09,76
323,.(((......+.)))......,1.268051e+08,69
324,.((.......+..))......,1.790575e+09,67
325,.(((......+.)))......,1.268051e+08,69
326,.((.......+..))......,1.790575e+09,67
327,.(((......+.)))......,1.770816e+09,70
328,((((......+.)))).....,1.268051e+08,60
329,(((.......+..))).....,1.790575e+09,58
330,((((......+.)))).....,1.282201e+08,61
331,.(((......+.)))......,8.434767e+07,71
332,..((......+.)).......,2.691884e+09,76
333,.(((......+.)))......,1.770816e+09,70
334,((((......+.)))).....,1.268051e+08,60
335,(((.......+..))).....,1.790575e+09,58
336,((((......+.)))).....,1.282201e+08,61
337,.(((......+.)))......,1.770816e+09,70
338,((((......+.)))).....,1.268051e+08,60
339,(((.......+..))).....,1.790575e+09,58
340,((((......+.)))).....,1.268051e+08,60
341,(((.......+..))).....,1.790575e+09,58
342,((((......+.)))).....,1.268051e+08,60
343,(((.......+..))).....,1.790575e+09,58
344,((((......+.)))).....,1.268051e+08,60
345,(((.......+..))).....,1.790575e+09,58
346,((((......+.)))).....,1.282201e+08,61
347,.(((......+.)))......,1.770816e+09,70
348,((((......+.)))).....,1.282201e+08,61
349,.(((......+.)))......,1.268051e+08,69
350,.((.......+..))......,1.770816e+09,66
351,(((.......+..))).....,1.790575e+09,58
352,((((......+.)))).....,1.282201e+08,61
353,.(((......+.)))......,1.770816e+09,70
354,((((......+.)))).....,1.268051e+08,60
355,(((.......+..))).....,1.790575e+09,58
356,((((......+.)))).....,1.268051e+08,60
357,(((.......+..))).....,1.790575e+09,58
358,((((......+.)))).....,1.268051e+08,60
359,(((.......+..))).....,1.790575e+09,58
360,((((......+.)))).....,1.282201e+08,61
361,.(((......+.)))......,1.770816e+09,70
362,((((......+.)))).....,1.282201e+08,61
363,.(((......+.)))......,1.770816e+09,70
364,((((......+.)))).....,1.268051e+08,60
365,(((.......+..))).....,1.790575e+09,58
366,((((......+.)))).....,1.282201e+08,61
367,.(((......+.)))......,1.770816e+09,70
368,((((......+.)))).....,1.268051e+08,60
369,(((.......+..))).....,1.790575e+09,58
370,((((......+.)))).....,1.282201e+08,61
371,.(((......+.)))......,1.770816e+09,70
372,((((......+.)))).....,1.268051e+08,60
373,(((.......+..))).....,1.790575e+09,58
374,((((......+.)))).....,1.282201e+08,61
375,.(((......+.)))......,1.770816e+09,70
376,((((......+.)))).....,1.268051e+08,60
377,(((.......+..))).....,1.790575e+09,58
378,((((......+.)))).....,1.282201e+08,61
379,.(((......+.)))......,1.770816e+09,70
380,((((......+.)))).....,1.282201e+08,61
381,.(((......+.)))......,1.770816e+09,70
382,((((......+.)))).....,1.282201e+08,61
383,.(((......+.)))......,1.770816e+09,70
384,((((......+.)))).....,1.282201e+08,61
385,.(((......+.)))......,1.770816e+09,70
386,((((......+.)))).....,1.268051e+08,60
387,(((.......+..))).....,1.790575e+09,58
388,((((......+.)))).....,1.282201e+08,61
389,.(((......+.)))......,1.770816e+09,70
390,((((......+.)))).....,1.282201e+08,61
391,.(((......+.)))......,1.770816e+09,70
392,((((......+.)))).....,1.268051e+08,60
393,(((.......+..))).....,1.790575e+09,58
394,((((......+.)))).....,1.282201e+08,61
395,.(((......+.)))......,1.770816e+09,70
396,((((......+.)))).....,1.282201e+08,61
397,.(((......+.)))......,8.434767e+07,71
398,..((......+.)).......,2.691884e+09,76
399,.(((......+.)))......,1.770816e+09,70
400,((((......+.)))).....,1.268051e+08,60
401,(((.......+..))).....,1.790575e+09,58
402,((((......+.)))).....,1.268051e+08,60
403,(((.......+..))).....,1.790575e+09,58
404,((((......+.)))).....,1.268051e+08,60
405,(((.......+..))).....,1.790575e+09,58
406,((((......+.)))).....,1.268051e+08,60
407,(((.......+..))).....,1.790575e+09,58
408,((((......+.)))).....,1.268051e+08,60
409,(((.......+..))).....,1.790575e+09,58
410,((((......+.)))).....,1.282201e+08,61
411,.(((......+.)))......,1.770816e+09,70
412,((((......+.)))).....,1.282201e+08,61
413,.(((......+.)))......,1.770816e+09,70
414,((((......+.)))).....,1.268051e+08,60
415,(((.......+..))).....,1.790575e+09,58
416,((((......+.)))).....,1.268051e+08,60
417,(((.......+..))).....,1.790575e+09,58
418,((((......+.)))).....,1.268051e+08,60
419,(((.......+..))).....,1.790575e+09,58
420,((((......+.)))).....,1.282201e+08,61
421,.(((......+.)))......,1.770816e+09,70
422,((((......+.)))).....,1.282201e+08,61
423,.(((......+.)))......,1.770816e+09,70
424,((((......+.)))).....,1.268051e+08,60
425,(((.......+..))).....,1.282201e+08,59
426,.((.......+..))......,1.770816e+09,66
427,(((.......+..))).....,1.790575e+09,58
428,((((......+.)))).....,1.268051e+08,60
429,(((.......+..))).....,1.790575e+09,58
430,((((......+.)))).....,1.268051e+08,60
431,(((.......+..))).....,1.790575e+09,58
432,((((......+.)))).....,1.282201e+08,61
433,.(((......+.)))......,1.770816e+09,70
