,trajectory,next step rate,step name
0,..........+..........,2.438527e+09,f_backfray-end_10
1,.(........+.)........,1.640335e+09,b_backfray-end_28
2,..........+..........,2.438527e+09,f_backfray-end_26
3,........(.+.......)..,1.640335e+09,b_backfray-end_82
4,..........+..........,5.809815e+08,f_off_core_15
5,..(.......+...)......,2.043242e+09,f_backfray-end_44
6,(.((......+..)).)....,1.957673e+09,b_backfray-end_37
7,..(.......+...)......,2.043242e+09,f_backfray-end_44
8,(.((......+..)).)....,1.957673e+09,b_backfray-end_37
9,..(.......+...)......,2.043242e+09,f_backfray-end_44
10,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
11,..((......+..))......,6.065168e+08,b_backfray-end_47
12,...(......+..).......,6.595036e+09,f_backfray-end_46
13,..((......+..))......,5.010582e+08,f_backfray-end_48
14,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
15,..((......+..))......,6.065168e+08,b_backfray-end_47
16,...(......+..).......,6.595036e+09,f_backfray-end_46
17,..((......+..))......,6.065168e+08,b_backfray-end_47
18,...(......+..).......,6.595036e+09,f_backfray-end_46
19,..((......+..))......,6.065168e+08,b_backfray-end_47
20,...(......+..).......,6.595036e+09,f_backfray-end_46
21,..((......+..))......,5.010582e+08,f_backfray-end_48
22,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
23,..((......+..))......,6.065168e+08,b_backfray-end_47
24,...(......+..).......,6.595036e+09,f_backfray-end_46
25,..((......+..))......,6.065168e+08,b_backfray-end_47
26,...(......+..).......,6.595036e+09,f_backfray-end_46
27,..((......+..))......,5.010582e+08,f_backfray-end_48
28,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
29,..((......+..))......,5.010582e+08,f_backfray-end_48
30,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
31,..((......+..))......,6.065168e+08,b_backfray-end_47
32,...(......+..).......,6.595036e+09,f_backfray-end_46
33,..((......+..))......,5.010582e+08,f_backfray-end_48
34,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
35,..((......+..))......,6.065168e+08,b_backfray-end_47
36,...(......+..).......,6.595036e+09,f_backfray-end_46
37,..((......+..))......,6.065168e+08,b_backfray-end_47
38,...(......+..).......,6.595036e+09,f_backfray-end_46
39,..((......+..))......,5.010582e+08,f_backfray-end_48
40,(.((......+..)).)....,1.957673e+09,b_backfray-end_37
41,..(.......+...)......,2.043242e+09,f_backfray-end_44
42,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
43,..((......+..))......,6.065168e+08,b_backfray-end_47
44,...(......+..).......,6.595036e+09,f_backfray-end_46
45,..((......+..))......,5.010582e+08,f_backfray-end_48
46,(.((......+..)).)....,1.957673e+09,b_backfray-end_37
47,..(.......+...)......,2.043242e+09,f_backfray-end_44
48,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
49,..((......+..))......,5.010582e+08,f_backfray-end_48
50,(.((......+..)).)....,1.957673e+09,b_backfray-end_37
51,..(.......+...)......,2.043242e+09,f_backfray-end_44
52,(.((......+..)).)....,7.983105e+09,b_backfray-end_38
53,..((......+..))......,6.065168e+08,b_backfray-end_47
54,...(......+..).......,6.595036e+09,f_backfray-end_46
55,..((......+..))......,5.010582e+08,f_backfray-end_48
