,trajectory,next step rate,step name
0,..........+..........,7.184670e+08,f_off_core_24
1,.....(....+.........),7.432564e+09,f_backfray-end_78
2,.....((...+........)),4.351879e+08,b_backfray-end_75
3,......(...+........).,9.191432e+09,f_backfray-end_80
4,.....((...+........)),5.381723e+08,b_backfray-end_74
5,.....(....+.........),7.432564e+09,f_backfray-end_78
6,.....((...+........)),5.381723e+08,b_backfray-end_74
7,.....(....+.........),7.432564e+09,f_backfray-end_78
8,.....((...+........)),5.381723e+08,b_backfray-end_74
9,.....(....+.........),7.432564e+09,f_backfray-end_78
10,.....((...+........)),5.381723e+08,b_backfray-end_74
11,.....(....+.........),7.432564e+09,f_backfray-end_78
12,.....((...+........)),4.351879e+08,b_backfray-end_75
13,......(...+........).,9.191432e+09,f_backfray-end_80
14,.....((...+........)),4.351879e+08,b_backfray-end_75
15,......(...+........).,9.191432e+09,f_backfray-end_80
16,.....((...+........)),5.381723e+08,b_backfray-end_74
17,.....(....+.........),7.432564e+09,f_backfray-end_78
18,.....((...+........)),5.381723e+08,b_backfray-end_74
19,.....(....+.........),7.432564e+09,f_backfray-end_78
20,.....((...+........)),5.381723e+08,b_backfray-end_74
21,.....(....+.........),7.432564e+09,f_backfray-end_78
22,.....((...+........)),4.351879e+08,b_backfray-end_75
23,......(...+........).,9.191432e+09,f_backfray-end_80
24,.....((...+........)),5.381723e+08,b_backfray-end_74
25,.....(....+.........),7.432564e+09,f_backfray-end_78
26,.....((...+........)),4.351879e+08,b_backfray-end_75
27,......(...+........).,9.191432e+09,f_backfray-end_80
28,.....((...+........)),4.351879e+08,b_backfray-end_75
29,......(...+........).,9.191432e+09,f_backfray-end_80
30,.....((...+........)),4.351879e+08,b_backfray-end_75
31,......(...+........).,9.191432e+09,f_backfray-end_80
32,.....((...+........)),4.351879e+08,b_backfray-end_75
33,......(...+........).,3.908113e+08,b_off_core_79
34,..........+..........,7.184670e+08,f_on_core_0
35,(.........+.........),3.160259e+08,b_on_core_86
36,..........+..........,5.809815e+08,f_off_core_25
37,......(...+........).,9.191432e+09,f_backfray-end_80
38,.....((...+........)),4.351879e+08,b_backfray-end_75
39,......(...+........).,9.191432e+09,f_backfray-end_80
40,.....((...+........)),4.351879e+08,b_backfray-end_75
41,......(...+........).,9.191432e+09,f_backfray-end_80
42,.....((...+........)),5.381723e+08,b_backfray-end_74
43,.....(....+.........),7.432564e+09,f_backfray-end_78
44,.....((...+........)),5.381723e+08,b_backfray-end_74
45,.....(....+.........),7.432564e+09,f_backfray-end_78
46,.....((...+........)),5.381723e+08,b_backfray-end_74
47,.....(....+.........),7.432564e+09,f_backfray-end_78
48,.....((...+........)),5.381723e+08,b_backfray-end_74
49,.....(....+.........),3.160259e+08,b_off_core_77
50,..........+..........,2.438527e+09,f_backfray-end_26
51,........(.+.......)..,1.640335e+09,b_backfray-end_82
52,..........+..........,2.438527e+09,f_backfray-end_26
53,........(.+.......)..,1.640335e+09,b_backfray-end_82
54,..........+..........,5.809815e+08,f_on_core_9
55,.........(+).........,3.969034e+09,f_zipping_167
56,........((+))........,7.929246e+09,f_zipping_169
57,.......(((+))).......,6.595036e+09,f_zipping_162
58,......((((+))))......,9.191432e+09,f_zipping_165
59,.....(((((+))))).....,4.351879e+08,b_zipping_156
60,......((((+))))......,9.191432e+09,f_zipping_165
61,.....(((((+))))).....,1.129852e+10,f_zipping_155
62,....((((((+))))))....,1.595831e+10,f_zipping_158
63,...(((((((+)))))))...,6.595036e+09,f_zipping_146
64,..((((((((+))))))))..,5.698295e+09,f_zipping_149
65,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
66,((((((((((+)))))))))),4.351879e+08,b_zipping-end_171
67,.(((((((((+))))))))).,3.537205e+08,b_zipping_136
68,..(((((((.+.)))))))..,1.130836e+10,f_zipping_135
69,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
70,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
71,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
