,trajectory,next step rate,step name
0,..........+..........,7.184670e+08,f_off_core_24
1,.....(....+.........),7.432564e+09,f_backfray-end_78
2,.....((...+........)),4.351879e+08,b_backfray-end_75
3,......(...+........).,9.191432e+09,f_backfray-end_80
4,.....((...+........)),5.381723e+08,b_backfray-end_74
5,.....(....+.........),7.432564e+09,f_backfray-end_78
6,.....((...+........)),4.351879e+08,b_backfray-end_75
7,......(...+........).,3.908113e+08,b_off_core_79
8,..........+..........,7.184670e+08,f_on_core_5
9,.....(....+....).....,4.198849e+10,f_zipping_129
10,....(((...+...)))....,6.507566e+10,f_zipping_131
11,...(((((..+..)))))...,2.114338e+10,f_zipping_133
12,..(((((((.+.)))))))..,1.130836e+10,f_zipping_135
13,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
14,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
15,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
16,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
17,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
18,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
19,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
20,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
21,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
22,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
23,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
24,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
25,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
26,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
27,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
28,((((((((((+)))))))))),4.351879e+08,b_zipping-end_171
29,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
30,((((((((((+)))))))))),4.351879e+08,b_zipping-end_171
31,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
32,((((((((((+)))))))))),4.351879e+08,b_zipping-end_171
33,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
34,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
35,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
36,((((((((((+)))))))))),4.351879e+08,b_zipping-end_171
37,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
38,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
39,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
40,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
41,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
42,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
43,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
44,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
45,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
46,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
47,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
48,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
49,(((((((((.+.))))))))),1.357436e+08,b_zipping_107
50,.(((((((..+..))))))).,2.946731e+10,f_zipping_127
51,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
52,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
53,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
54,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
55,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
56,((((((((((+)))))))))),4.351879e+08,b_zipping-end_171
57,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
58,((((((((((+)))))))))),4.351879e+08,b_zipping-end_171
59,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
60,((((((((((+)))))))))),1.007802e+09,b_zipping-end_170
61,(((((((((.+.))))))))),3.969034e+09,f_zipping-end_106
62,((((((((((+)))))))))),4.351879e+08,b_zipping-end_171
63,.(((((((((+))))))))).,9.191432e+09,f_zipping-end_137
