,trajectory,DG,next step rate,step name
0,..........+..........,0.0,3.134882e+06,off_nucleation-8
1,........(.+...)......,-0.4881872600222883,2.095948e+08,off_nucleation-106
2,..........+..........,0.0,2.507905e+06,on_nucleation-13
3,...(......+......)...,-0.4881872600222883,2.095948e+08,on_nucleation-204
4,..........+..........,0.0,3.134882e+06,off_nucleation-4
5,.......(..+).........,-0.23568040849883176,3.205307e+08,off_nucleation-66
6,..........+..........,0.0,2.507905e+06,on_nucleation-15
7,.....(....+....).....,-0.23568040849883176,3.205307e+08,on_nucleation-252
8,..........+..........,0.0,3.134882e+06,off_nucleation-4
9,.......(..+).........,-0.23568040849883176,3.205307e+08,off_nucleation-66
10,..........+..........,0.0,2.507905e+06,on_nucleation-14
11,....(.....+.....)....,-0.4881872600222883,2.095948e+08,on_nucleation-230
12,..........+..........,0.0,2.507905e+06,on_nucleation-17
13,.......(..+..).......,-0.23568040849883176,3.205307e+08,on_nucleation-284
14,..........+..........,0.0,3.134882e+06,off_nucleation-0
15,(.........+.......)..,-0.23568040849883176,3.205307e+08,off_nucleation-23
16,..........+..........,0.0,2.507905e+06,on_nucleation-19
17,.........(+).........,-0.23568040849883176,3.205307e+08,on_nucleation-299
18,..........+..........,0.0,2.507905e+06,on_nucleation-12
19,..(.......+.......)..,-0.23568040849883176,3.205307e+08,on_nucleation-174
20,..........+..........,0.0,2.507905e+06,on_nucleation-18
21,........(.+.)........,-0.4881872600222883,2.095948e+08,on_nucleation-294
22,..........+..........,0.0,2.507905e+06,on_nucleation-18
23,........(.+.)........,-0.4881872600222883,2.095948e+08,on_nucleation-294
24,..........+..........,0.0,3.134882e+06,off_nucleation-3
25,......(...+.)........,-0.4881872600222883,2.095948e+08,off_nucleation-61
26,..........+..........,0.0,2.507905e+06,on_nucleation-17
27,.......(..+..).......,-0.23568040849883176,3.205307e+08,on_nucleation-284
28,..........+..........,0.0,3.134882e+06,off_nucleation-6
29,......(...+.....)....,-0.4881872600222883,2.095948e+08,off_nucleation-82
30,..........+..........,0.0,3.134882e+06,off_nucleation-5
31,..(.......+.........),-0.23568040849883176,3.205307e+08,off_nucleation-68
32,..........+..........,0.0,3.134882e+06,off_nucleation-9
33,.........(+..).......,-0.23568040849883176,3.205307e+08,off_nucleation-111
34,..........+..........,0.0,3.134882e+06,off_nucleation-2
35,.....(....+..).......,-0.23568040849883176,3.205307e+08,off_nucleation-51
36,..........+..........,0.0,3.134882e+06,off_nucleation-5
37,..(.......+.........),-0.23568040849883176,3.205307e+08,off_nucleation-68
38,..........+..........,0.0,3.134882e+06,off_nucleation-9
39,.........(+..).......,-0.23568040849883176,3.205307e+08,off_nucleation-111
40,..........+..........,0.0,3.134882e+06,off_nucleation-0
41,(.........+.......)..,-0.23568040849883176,3.205307e+08,off_nucleation-23
42,..........+..........,0.0,2.507905e+06,on_nucleation-12
43,..(.......+.......)..,-0.23568040849883176,3.205307e+08,on_nucleation-174
44,..........+..........,0.0,2.507905e+06,on_nucleation-17
45,.......(..+..).......,-0.23568040849883176,3.205307e+08,on_nucleation-284
46,..........+..........,0.0,2.507905e+06,on_nucleation-12
47,..(.......+.......)..,-0.23568040849883176,3.205307e+08,on_nucleation-174
48,..........+..........,0.0,2.507905e+06,on_nucleation-12
49,..(.......+.......)..,-0.23568040849883176,3.205307e+08,on_nucleation-174
50,..........+..........,0.0,3.134882e+06,off_nucleation-3
51,......(...+.)........,-0.4881872600222883,2.095948e+08,off_nucleation-61
52,..........+..........,0.0,2.507905e+06,on_nucleation-17
53,.......(..+..).......,-0.23568040849883176,3.205307e+08,on_nucleation-284
54,..........+..........,0.0,3.134882e+06,off_nucleation-1
55,....(.....+...)......,-0.4881872600222883,2.095948e+08,off_nucleation-37
56,..........+..........,0.0,3.134882e+06,off_nucleation-1
57,....(.....+...)......,-0.4881872600222883,2.095948e+08,off_nucleation-37
58,..........+..........,0.0,2.507905e+06,on_nucleation-15
59,.....(....+....).....,-0.23568040849883176,3.205307e+08,on_nucleation-252
60,..........+..........,0.0,3.134882e+06,off_nucleation-8
61,........(.+...)......,-0.4881872600222883,2.095948e+08,off_nucleation-106
62,..........+..........,0.0,3.134882e+06,off_nucleation-5
63,..(.......+.........),-0.23568040849883176,3.205307e+08,off_nucleation-68
64,..........+..........,0.0,3.134882e+06,off_nucleation-5
65,..(.......+.........),-0.23568040849883176,3.205307e+08,off_nucleation-68
66,..........+..........,0.0,2.507905e+06,on_nucleation-14
67,....(.....+.....)....,-0.4881872600222883,2.095948e+08,on_nucleation-230
68,..........+..........,0.0,3.134882e+06,off_nucleation-5
69,..(.......+.........),-0.23568040849883176,3.205307e+08,off_nucleation-68
70,..........+..........,0.0,3.134882e+06,off_nucleation-7
71,.......(..+....).....,-0.23568040849883176,3.205307e+08,off_nucleation-96
72,..........+..........,0.0,3.134882e+06,off_nucleation-8
73,........(.+...)......,-0.4881872600222883,2.095948e+08,off_nucleation-106
74,..........+..........,0.0,3.134882e+06,off_nucleation-5
75,..(.......+.........),-0.23568040849883176,3.205307e+08,off_nucleation-68
76,..........+..........,0.0,2.507905e+06,on_nucleation-15
77,.....(....+....).....,-0.23568040849883176,3.205307e+08,on_nucleation-252
78,..........+..........,0.0,3.134882e+06,off_nucleation-5
79,..(.......+.........),-0.23568040849883176,3.205307e+08,off_nucleation-68
80,..........+..........,0.0,3.134882e+06,off_nucleation-9
81,.........(+..).......,-0.23568040849883176,3.205307e+08,off_nucleation-111
82,..........+..........,0.0,2.507905e+06,on_nucleation-13
