,trajectory,DG,next step rate,step name
102,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
103,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
104,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
105,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
106,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
107,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-11
108,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
109,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
110,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
111,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
112,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
113,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
114,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
115,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
116,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
117,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
118,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
119,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
120,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
121,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
122,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
123,.(((+))).,-2.7536061492546575,2.356356e+06,zipping-23
124,..((+))..,-1.4866385529302981,2.000000e+07,zipping-28
125,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
126,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
127,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
128,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
129,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
130,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
131,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-13
132,.((.+.)).,-1.4866385529302981,2.000000e+07,zipping-19
133,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
134,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
135,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
136,((((+)))),,,
