,trajectory,next step rate,step name
0,..........+..........,4.765020e+08,f_off_core_36
1,.....(....+......)...,3.205307e+08,b_off_core_180
2,..........+..........,4.765020e+08,f_backfray-end_47
3,.......(.(+.......).),1.037187e+09,b_backfray-end_231
4,..........+..........,4.765020e+08,f_on_core_8
5,........(.+.)........,2.000000e+09,f_zipping_306
6,.......(((+))).......,2.000000e+09,f_zipping_308
7,......((((+))))......,2.000000e+09,f_zipping_311
8,.....(((((+))))).....,2.000000e+09,f_zipping_301
9,....((((((+))))))....,2.000000e+09,f_zipping_304
10,...(((((((+)))))))...,2.000000e+09,f_zipping_292
11,..((((((((+))))))))..,2.000000e+09,f_zipping_295
12,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
13,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
14,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
15,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
16,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
17,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
18,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
19,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
20,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
21,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
22,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
23,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
24,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
25,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
26,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
27,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
28,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
29,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
30,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
31,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
32,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
33,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
34,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
35,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
36,(((((((((.+.))))))))),3.374497e+07,b_zipping_251
37,((((((((..+..)))))))),2.000000e+09,f_zipping_250
38,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
39,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
40,(((((((((.+.))))))))),3.374497e+07,b_zipping_251
41,((((((((..+..)))))))),2.000000e+09,f_zipping_250
42,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
43,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
44,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
45,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
46,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
47,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
48,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
49,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
50,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
51,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
52,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
53,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
54,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
55,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
56,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
57,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
58,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
59,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
60,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
61,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
62,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
63,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
64,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
65,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
66,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
67,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
68,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
69,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
70,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
71,((((((((((+)))))))))),1.493074e+07,b_zipping-end_317
72,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_283
73,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
74,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
75,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
76,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
77,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
78,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
79,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
80,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
81,((((((((((+)))))))))),5.869956e+07,b_zipping-end_316
82,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_252
